Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жайворон,Франц,Олександрович,Чоловік,1991-12-01,Мовознавець,селище Вашківці,"проспект Мирна, буд. 491 кв. 57, Снігурівка, 27486",052 932 93 92,yhaidai@example.org
Гаврилець,Онисим,Васильович,Чоловік,1976-08-15,Лікар,місто Охтирка,"провулок Лесі Українки, буд. 06, Снятин, 29002",032 752-80-85,tdevdiuk@example.com
Ґереґа,Болеслав,Богданович,Чоловік,1974-09-19,Реабілітолог,місто Жашків,"площа Ярморочна площа, буд. 5 кв. 7, Умань, 37272",342-27-79,zinchenkoanastasiia@example.com
Павличенко,Леонід,Кирилович,Чоловік,1951-06-18,Гицель,селище Калуш,"шосе 3-тя Лінія Марії Демченко, буд. 990 кв. 2, Лохвиця, 11316",+380 (56) 887-15-00,chavriushenko@example.net
Корпанюк,Леонтій,Максимович,Чоловік,1998-11-25,Каскадер,село Вишневе ,"узвіз Асташкіна, буд. 32 кв. 0, Соснівка , 23884",762-35-04,demyd28@example.net
Шаповал,Марко,Олегович,Чоловік,1963-04-30,Стропальник,селище Рівне,"проспект Олександра Невського 3-й, буд. 254 кв. 273, Луцьк, 62332",+380 10 258-73-50,okseniia05@example.com
Ванченко,Семен,Володимирович,Чоловік,1940-11-03,Професор,місто Черкаси,"шосе Головна, буд. 3, Вишгород, 33197",+380 75 912-31-25,hordiiveres@example.net
Корпанюк,Володимир,Леонідович,Чоловік,1942-03-23,Бухгалтер,селище Зимогір'я,"шосе Пересипський 1-й, буд. 2 кв. 41, Рудки, 77000",+380 (24) 984-62-38,illia34@example.com
Ємельяненко,Лесь,Тарасович,Чоловік,1983-10-23,Секретар,селище Нікополь,"площа Недєліна, буд. 65 кв. 43, Васильків, 64735",210-14-32,panteleimonkorzh@example.net
Адамчук,Марко,Ігорович,Чоловік,1966-10-21,Ювелір,хутір Харцизьк,"парк Джутовий, буд. 03 кв. 43, Балта, 80003",066 213 73 37,darahanoryna@example.net
Алексійчук,Вʼячеслав,Дмитрович,Чоловік,1953-12-29,Машиніст,селище Турка,"площа Ювілейний 1-й, буд. 1 кв. 7, Новоазовськ, 21104",215-70-25,uiurchenko@example.org
Дробʼязко,Феофан,Романович,Чоловік,1975-04-23,Співак,селище Старий Крим,"проспект Івана Франка, буд. 2, Сватове, 60380",+380 37 948-02-55,telizhenkoiaryna@example.com
Жарко,Ігнат,Петрович,Чоловік,1981-06-22,Економіст,місто Буськ,"площа Олександра Невського 3-й, буд. 5 кв. 724, Баштанка, 19253",+380 92 055 39 47,lukian20@example.net
Дерегус,Орест,Едуардович,Чоловік,1997-08-27,Золотар,місто Карлівка,"набережна Лінія 36-та, буд. 50 кв. 52, Носівка, 50575",071 347 94 84,ubhydenko@example.net
Яремків,Семен,Вітальович,Чоловік,1959-01-30,Кінокритик,селище Молодогвардійськ,"узвіз Весняна, буд. 931 кв. 341, Покров, 60641",740-76-22,danylolupii@example.com
Верхола,Аарон,Ярославович,Чоловік,1957-11-25,Стропальник,селище Єнакієве,"площа Нафтовиків 3-й, буд. 2 кв. 1, Святогірськ, 59541",018 834 48 12,andriiiakymenko@example.org
Євтушенко,Давид,Юрійович,Чоловік,2000-04-25,Модельєр,селище Прип'ять ,"парк Бучми, буд. 775, Яремче, 72530",+380 90 748-42-81,khudiakmaryna@example.org
Романенко,Марко,Святославович,Чоловік,1957-07-04,Сценарист,місто Чорнобиль,"узвіз Гагарінське плато, буд. 307, Хоростків, 68421",934 07 10,albertkarpa@example.net
Дергач,Арсен,Назарович,Чоловік,1975-06-18,Акушер,селище Теплодар,"площа Більшовицький, буд. 081, Молодогвардійськ, 36377",090 219-81-20,mykolaiavdieienko@example.org
Цибуленко,Арсен,Миколайович,Чоловік,1975-11-16,Науковець,місто Тростянець,"площа Весела, буд. 25, Ходорів, 54190",098 518-02-92,serhiikhomenko@example.com
Ємець,Азар,,Чоловік,1970-08-04,Фармацевт,хутір Євпаторія,"узвіз Михайла Грушевського, буд. 62 кв. 88, Пирятин, 71945",278 64 89,arsenartym@example.org
Саєнко,Лесь,,Чоловік,1994-10-20,Мистецтвознавець,хутір Балаклія,"сквер Літературна, буд. 68, Дружківка, 46518",+380 (66) 184-40-79,darahanherman@example.com
Ніколюк,Соломон,,Чоловік,1965-10-05,Гірничий інженер,селище Прип'ять ,"узвіз Сталепрокатна, буд. 985 кв. 083, Кадіївка, 11919",+380 06 368 87 58,qdavydenko@example.net
Яценюк,Теодор,,Чоловік,1990-09-22,Фізик,місто Стрий,"шосе Північний, буд. 0 кв. 34, Гнівань, 15176",+380 (15) 612-64-30,sirobabahanna@example.org
Іващенко,Едуард,,Чоловік,2002-06-27,Золотар,хутір Чернігів,"шосе Дачний, буд. 2, Немирів, 30576",084 890 23 76,liliiaaverchenko@example.net
Шеремета,Борис,,Чоловік,2003-04-06,Будник,село Новий Буг,"парк Георгія Гамова, буд. 8 кв. 5, Джанкой, 83137",702 25 20,igereta@example.net
Сірко,Олекса,,Чоловік,1972-08-22,Круп'є,місто Покровськ,"площа Гаванна, буд. 24 кв. 45, Вільнянськ, 73792",017 188-16-12,hlibzubko@example.com
Лаба,Демʼян,,Чоловік,1991-10-30,Прокурор,місто Нове Давидково,"набережна Пересипський 2-й, буд. 1 кв. 4, Новомосковськ, 05258",066 618 12 26,alevtynrubets@example.net
Бабич,Юхим,,Чоловік,1984-01-16,Гицель,хутір Івано-Франківськ,"набережна Дачний 2-й, буд. 7 кв. 8, Миронівка, 44156",314-86-38,iaroslavopanasenko@example.net
